name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,genre
Bittersweet Goodbye - Tiësto’s Hardcore Remix,Bittersweet Goodbye (Tiësto’s Hardcore Remix),Issey Cross,8/18/2023,158723,58,0.118,0.437,0.898,0.00143,0.386,-2.252,0.0557,173.888,0.167,4,9,1,spotify:track:4UWDgSvethiugRKFdbaiik,2023,edm
Free (with Ellie Goulding) - Joel Corry Remix,Free (with Ellie Goulding) [Joel Corry Remix],Calvin Harris,9/8/2024,183502,58,0.0439,0.596,0.887,0.321,0.116,-5.463,0.036,137.966,0.263,4,8,0,spotify:track:5BZdyRrJ1uBLGoXWtg2lFK,2024,edm
Run Free (Countdown),Run Free (Countdown),Tiësto,11/10/2023,152380,54,0.00985,0.699,0.988,0.934,0.0847,-2.645,0.0995,125.991,0.192,4,8,1,spotify:track:4KB66xUZWvRDej628vf2J8,2023,edm
Cutting Shapes,Past.Present.Future.,Don Diablo,2/6/2017,179047,49,0.0254,0.715,0.914,0,0.0961,-3.87,0.214,125.826,0.565,4,0,1,spotify:track:3hENlPbIlUZXQ3MiosF87Q,2017,edm
Distance - Volac Remix,Distance (Volac Remix),Apashe,1/8/2021,215390,53,0.0398,0.819,0.824,0.263,0.255,-5.434,0.0565,126.007,0.463,4,0,1,spotify:track:42BdPV3FB2HVsvdokaIDJt,2021,edm
Do It To It - Tiësto Remix,Do It To It (Tiësto Remix),ACRAZE,2/25/2022,125280,59,0.000422,0.636,0.892,0.0954,0.156,-5.573,0.0386,125.003,0.456,4,2,1,spotify:track:2XKsHHNCtKqk9cF35TRFyC,2022,edm
Every Day,Opus,Eric Prydz,2/5/2016,434666,50,0.00298,0.477,0.728,0.26,0.124,-5.978,0.0378,125.988,0.0341,4,7,0,spotify:track:4j1hJwuawbvpm2q2orbgj7,2016,edm
Notorious,Notorious,Malaa,8/24/2016,271219,49,0.0513,0.811,0.571,0.00175,0.0565,-6.064,0.0488,123.021,0.167,4,2,1,spotify:track:2XjPFBHDIKXNRzB1QrEhpP,2016,edm
The Only Way Is Up - Radio Edit,The Only Way Is Up,Martin Garrix,12/11/2015,189389,40,0.0145,0.593,0.81,0.944,0.0906,-5.976,0.0341,128.067,0.173,4,1,0,spotify:track:0uvFFLI3Z6zidLLUsHDVVk,2015,edm
You've Done Enough,You’ve Done Enough,Gorgon City,1/29/2021,213546,48,0.016,0.685,0.791,0.153,0.703,-6.628,0.0337,125.052,0.539,4,0,1,spotify:track:3zPfyVThoCzQ6IB5CSGDTz,2021,edm
Lovers In A Past Life (with Rag'n'Bone Man),Lovers In A Past Life (with Rag'n'Bone Man),Calvin Harris,2/16/2024,160650,65,0.0713,0.752,0.793,1.71E-05,0.135,-3.871,0.0423,129.992,0.725,4,9,0,spotify:track:6v4ABPB255HDSWyIj3S9Wn,2024,edm
My City (feat. Katy Tiz),My City (feat. Katy Tiz),Tiësto,5/15/2024,151874,53,0.00169,0.668,0.943,0.548,0.13,-3.375,0.0498,128.011,0.195,4,2,1,spotify:track:5sjvmFMLPjBXDd2XDr9JIm,2024,edm
On My Mind - Radio Edit,On My Mind (Radio Edit),Don Diablo,8/10/2015,186885,30,0.00547,0.578,0.941,0.812,0.412,-2.452,0.0835,125.986,0.274,4,5,0,spotify:track:631sXzbVbUZxtd7DfOgnZ8,2015,edm
